Acanthoscurria geniculata
Amazonius germani
Aphonopelma seemanni
Augcephalus
Avicularia avicularia
Avicularia juruensis
Avicularia minatrix
Avicularia purpurea
Birupes simoroxigorum
Brachypelma albiceps
Brachypelma auratum
Brachypelma baumgarteni
Brachypelma boehmei
Brachypelma emilia
Brachypelma hamorii or smithi
Brachypelma klaasi
Bumba horrida or tapajos
Caribena laeta
Caribena versicolor
Ceratogyrus brachycephalus
Ceratogyrus darlingi
Ceratogyrus marshalli
Ceratogyrus meridionalis
Ceratogyrus sanderi
Chilobrachys dyscolus
Chilobrachys fimbriatus
Chilobrachys huahini
Chilobrachys natanicharum
Chromatopelma cyaneopubescens
Cilantica devamatha
Citharacanthus cyaneus
Cyriocosmus aueri or bertae
Cyriocosmus bicolor
Cyriocosmus elegans
Cyriocosmus leetzi
Cyriocosmus perezmilesi
Cyriocosmus ritae
Cyriopagopus albostriatus
Cyriopagopus hainanus
Cyriopagopus lividus
Cyriopagopus schmidti
Davus pentaloris
Dolichothele diamantinensis
Encyocratella olivacea
Ephebopus cyanognathus
Ephebopus murinus
Eucratoscelus pachypus
Grammostola iheringi
Grammostola pulchra
Grammostola pulchripes
Grammostola rosea
Hapalopus formosus
Haplocosmia himalayana
Harpactira cafreriana
Harpactira pulchripes
Heteroscodra maculata
Heterothele gabonensis
Holothele longipes
Homoeomma
Hysterocrates
Idiothele mira
Kochiana brunnipes
Lampropelma nigerrimum or Phormingochilus arboricola
Lasiocyano sazimai
Lasiodora
Megaphobema robustum
Monocentropus balfouri
Neoholothele incei
Nhandu coloratovillosus
Nhandu tripepii
Omothymus schioedtei
Omothymus violaceopes
Ornithoctonus aureotibialis
Pamphobeteus antinous
Pamphobeteus ultramarinus
Pelinobus muticus
Phormictopus auratus
Phormingochilus everetti
Poecilotheria
Poecilotheria formosa
Poecilotheria metallica
Poecilotheria ornata
Poecilotheria rufilata
Poecilotheria subfusca
Psalmopoeus cambridgei
Psalmopoeus irminia
Psalmopoeus pulcher
Psalmopoeus reduncus
Psalmopoeus victori
Pterinochilus lugardi
Pterinochilus murinus
Selenobrachys philippinus
Stromatopelma calceatum
Tapinauchenius plumipes
Theraphosa
Thrixopelma ockerti
Tliltocatl albopilosus
Tliltocatl vagans
Typhochlaena seladonia
Vitalius chromatus
Xenesthis immanis
